"Time","relative_humidity.mean {site_location: fhz}"
2018-07-27 16:38:00,25.3
2018-07-27 16:40:00,25.0
2018-07-27 16:42:00,25.2
2018-07-27 16:44:00,25.4
2018-07-27 16:46:00,25.4
2018-07-27 16:48:00,25.4
2018-07-27 16:50:00,25.3
2018-07-27 16:52:00,25.3
2018-07-27 16:54:00,25.4
2018-07-27 16:56:00,25.5
2018-07-27 16:58:00,25.4
2018-07-27 17:00:00,25.8
2018-07-27 17:02:00,25.7
2018-07-27 17:04:00,25.9
2018-07-27 17:06:00,25.9
2018-07-27 17:08:00,25.8
2018-07-27 17:10:00,25.4
2018-07-27 17:12:00,25.5
2018-07-27 17:14:00,25.3
2018-07-27 17:16:00,25.4
2018-07-27 17:18:00,25.3
2018-07-27 17:20:00,25.3
2018-07-27 17:22:00,25.3
2018-07-27 17:24:00,25.4
2018-07-27 17:26:00,25.5
2018-07-27 17:28:00,25.5
2018-07-27 17:30:00,25.5
2018-07-27 17:32:00,25.2
2018-07-27 17:34:00,25
2018-07-27 17:36:00,24.8
2018-07-27 17:38:00,24.7
2018-07-27 17:40:00,24.8
2018-07-27 17:42:00,24.8
2018-07-27 17:44:00,24.7
2018-07-27 17:46:00,24.8
2018-07-27 17:48:00,24.9
2018-07-27 17:50:00,25.0
2018-07-27 17:52:00,25.0
2018-07-27 17:54:00,25
2018-07-27 17:56:00,25.0
2018-07-27 17:58:00,24.9
2018-07-27 18:00:00,25.1
2018-07-27 18:02:00,25
2018-07-27 18:04:00,25.0
2018-07-27 18:06:00,24.9
2018-07-27 18:08:00,24.8
2018-07-27 18:10:00,24.9
2018-07-27 18:12:00,24.9
2018-07-27 18:14:00,25
2018-07-27 18:16:00,25.4
2018-07-27 18:18:00,25.5
2018-07-27 18:20:00,25.7
2018-07-27 18:22:00,25.8
2018-07-27 18:24:00,25.9
2018-07-27 18:26:00,26.1
2018-07-27 18:28:00,26.1
2018-07-27 18:30:00,26.4
2018-07-27 18:32:00,26.3
2018-07-27 18:34:00,26.4
2018-07-27 18:36:00,26.8
2018-07-27 18:38:00,26.7
2018-07-27 18:40:00,26.8
2018-07-27 18:42:00,27.1
2018-07-27 18:44:00,27.2
2018-07-27 18:46:00,27.2
2018-07-27 18:48:00,27.5
2018-07-27 18:50:00,27.8
2018-07-27 18:52:00,27.9
2018-07-27 18:54:00,27.9
2018-07-27 18:56:00,27.9
2018-07-27 18:58:00,28.0
2018-07-27 19:00:00,28.3
2018-07-27 19:02:00,28.7
2018-07-27 19:04:00,28.6
2018-07-27 19:06:00,28.7
2018-07-27 19:08:00,28.9
2018-07-27 19:10:00,29
2018-07-27 19:12:00,29.2
2018-07-27 19:14:00,29.4
2018-07-27 19:16:00,29.6
2018-07-27 19:18:00,29.8
2018-07-27 19:20:00,29.9
2018-07-27 19:22:00,30.1
2018-07-27 19:24:00,30.3
2018-07-27 19:26:00,30.6
2018-07-27 19:28:00,30.7
2018-07-27 19:30:00,30.9
2018-07-27 19:32:00,31.1
2018-07-27 19:34:00,31.3
2018-07-27 19:36:00,31.2
2018-07-27 19:38:00,31.4
2018-07-27 19:40:00,31.7
2018-07-27 19:42:00,31.9
2018-07-27 19:44:00,32.1
2018-07-27 19:46:00,32.4
2018-07-27 19:48:00,32.6
2018-07-27 19:50:00,32.8
2018-07-27 19:52:00,33.1
2018-07-27 19:54:00,33.3
2018-07-27 19:56:00,33.6
2018-07-27 19:58:00,33.9
2018-07-27 20:00:00,34.2
2018-07-27 20:02:00,34.5
2018-07-27 20:04:00,34.8
2018-07-27 20:06:00,35.0
2018-07-27 20:08:00,35.3
2018-07-27 20:10:00,35.6
